,data,year,row_number
0,Questionable,2012,500
1,Questionable,2012,501
2,Out,2012,1
3,Out,2012,2
4,Questionable,2012,502
5,Out,2012,3
6,Out,2012,4
7,Questionable,2012,503
8,Questionable,2012,504
9,Out,2012,5
10,Questionable,2012,505
11,Questionable,2012,506
12,Questionable,2012,507
13,Questionable,2012,508
14,Questionable,2012,509
15,Out,2012,6
16,Out,2012,7
17,Out,2012,8
18,Questionable,2012,510
19,Questionable,2012,511
20,Out,2012,9
21,Out,2012,10
22,Out,2012,11
23,Out,2012,12
24,Questionable,2012,512
25,Out,2012,13
26,Out,2012,14
27,Questionable,2012,513
28,Questionable,2012,514
29,Questionable,2012,515
30,Questionable,2012,516
31,Questionable,2012,517
32,Questionable,2012,518
33,Questionable,2012,519
34,Questionable,2012,520
35,Questionable,2012,521
36,Questionable,2012,522
37,Questionable,2012,523
38,Questionable,2012,524
39,Out,2012,15
40,Out,2012,16
41,Questionable,2012,525
42,Out,2012,17
43,Out,2012,18
44,Out,2012,19
45,Questionable,2012,526
46,Questionable,2012,527
47,Questionable,2012,528
48,Questionable,2012,529
49,Out,2012,20
50,Questionable,2012,530
51,Out,2012,21
52,Questionable,2012,531
53,Questionable,2012,532
54,Out,2012,22
55,Questionable,2012,533
56,Questionable,2012,534
57,Questionable,2012,535
58,Out,2012,23
59,Questionable,2012,536
60,Questionable,2012,537
61,Questionable,2012,538
62,Questionable,2012,539
63,Questionable,2012,540
64,Out,2012,24
65,Questionable,2012,541
66,Questionable,2012,542
67,Questionable,2012,543
68,Out,2012,25
69,Questionable,2012,544
70,Questionable,2012,545
71,Out,2012,26
72,Out,2012,27
73,Out,2012,28
74,Out,2012,29
75,Questionable,2012,546
76,Out,2012,30
77,Out,2012,31
78,Questionable,2012,547
79,Questionable,2012,548
80,Questionable,2012,549
81,Out,2012,32
82,Questionable,2012,550
83,Out,2012,33
84,Out,2012,34
85,Out,2012,35
86,Questionable,2012,551
87,Questionable,2012,552
88,Questionable,2012,553
89,Out,2012,36
90,Questionable,2012,554
91,Questionable,2012,555
92,Questionable,2012,556
93,Questionable,2012,557
94,Out,2012,37
95,Questionable,2012,558
96,Out,2012,38
97,Questionable,2012,559
98,Questionable,2012,560
99,Out,2012,39
100,Questionable,2012,561
101,Questionable,2012,562
102,Questionable,2012,563
103,Out,2012,40
104,Questionable,2012,564
105,Questionable,2012,565
106,Questionable,2012,566
107,Questionable,2012,567
108,Out,2012,41
109,Questionable,2012,568
110,Questionable,2012,569
111,Questionable,2012,570
112,Questionable,2012,571
113,Out,2012,42
114,Questionable,2012,572
115,Out,2012,43
116,Out,2012,44
117,Out,2012,45
118,Questionable,2012,573
119,Questionable,2012,574
120,Questionable,2012,575
121,Questionable,2012,576
122,Questionable,2012,577
123,Out,2012,46
124,Out,2012,47
125,Questionable,2012,578
126,Questionable,2012,579
127,Questionable,2012,580
128,Out,2012,48
129,Out,2012,49
130,Questionable,2012,581
131,Out,2012,50
132,Out,2012,51
133,Out,2012,52
134,Out,2012,53
